name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Endy Rodriguez,C,PIT,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Jonah Heim,C,TEX,AAA,SYR,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Korey Lee,C,CHW,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Tyler Locklear,1B,SEA,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Christian Encarnacion-Strand,1B,CIN,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Justin Foscue,2B,TEX,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Kristian Campbell,2B,BOS,AAA,SYR,X,,X,,,,,,0,,1,rostered,7500000,7500000,7500000,7500000,7500000,7500000,7500000,7500000,7500000,UFA,,,,
Xander Bogaerts,SS,SD,AAA,SYR,X,,X,,,,,,1,,1,rostered,25454545,25454545,25454545,25454545,25454545,25454545,25454545,25454545,UFA,,,,,
Ryan McMahon,3B,COL,AAA,SYR,X,,X,,,,,,1,,1,rostered,11666667,11666667,UFA,,,,,,,,,,,
Trey Lipscomb,3B,WSH,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Bryan Reynolds,OF,PIT,AAA,SYR,X,,X,,,,,,1,,1,rostered,13343750,13343750,13343750,13343750,13343750,13343750,UFA,,,,,,,
Daylen Lile,OF,WSH,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Jordan Beck,OF,COL,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Patrick Sandoval,SP,LAA,AAA,SYR,X,,X,,,,,,1,,1,rostered,9125000,UFA,,,,,,,,,,,,
Shota Imanaga,SP,CHC,AAA,SYR,X,,X,,,,,,1,,1,rostered,13250000,13250000,13250000,UFA,,,,,,,,,,
J.P. France,SP,HOU,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Thomas Harrington,SP,PIT,AAA,SYR,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Ryan Gusto,RP,HOU,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Troy Melton,SP,DET,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jordan Wicks,SP,CHC,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Paul Skenes,SP,PIT,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jose Quintana,SP,FA,AAA,SYR,X,,X,,,,,,1,,1,rostered,16500000,UFA,,,,,,,,,,,,
Jake Cousins,RP,NYY,AAA,SYR,X,,X,,,,,,1,,1,rostered,2000000,UFA,,,,,,,,,,,,
Seth Halvorsen,RP,COL,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Matt Svanson,SP,STL,AAA,SYR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Cole Sands,RP,MIN,AAA,SYR,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Omar Alfonzo,C,PIT,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jacob Cozart,C,CLE,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Stiven Flores,C,CHW,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nathan Hickey,C,BOS,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Thayron Liranzo,C,DET,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Romeo Sanabria,C,SD,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ivan Torres,C,TB,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Daniel Susac,C,OAK,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tommy Hopfe,1B,COL,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Edgar Alvarez,1B,CHC,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jared Jones,1B,PIT,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ronny Ugarte,1B,COL,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Larry Suero,2B,COL,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Derniche Valdez,2B,CHC,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Zander Darby,2B,SF,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
John Gil,3B,ATL,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jordan Groshans,3B,OAK,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
D'Angelo Ortiz,3B,BOS,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alfredo Velasquez,3B,BAL,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dylan Jasso,3B,NYY,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brennan Milone,3B,OAK,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brady Day,SS,PHI,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Angel Cepeda,SS,CHC,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ramcell Medina,SS,KCR,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Warel Solano,SS,TBR,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Angel Carmona,SS,ATL,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cutter Coffey,SS,TOR,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cesar Prieto,SS,STL,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jorge Quintana,SS,MIL,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nieves Izaguirre,SS,PHI,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Emmanuel Cedeno,SS,TB,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Darrell Morrel,SS,PIT,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jett Williams,SS,NYM,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carlos Bello,SS,NYY,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Johan De Los Santos,SS,PIT,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luke Waddell,SS,ATL,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Eduardo Beltre,OF,MIN,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tony Blanco Jr.,OF,PIT,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Lasko,OF,OAK,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bryce Boettcher,OF,HOU,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sean Barnett,OF,SD,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jordan Sanchez,OF,BAL,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
James Tibbs,OF,SF,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
George Valera,OF,CLE,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yohendrick Pinango,OF,TOR,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cam Maldonado,OF,SFG,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Djean Macares,OF,SFG,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Junior Garcia,OF,ATL,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Isaias Castillo,OF,NYY,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Eddie King,OF,PIT,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gabriel Rodriguez,OF,PIT,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cristhian Vaquero,OF,WSH,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Natanael Yuten,OF,BOS,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Mason Albright,P,COL,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Raudy Reyes,P,ATL,AAA,SYR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
