name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Gabriel Moreno,C,ARI,AAA,TAC,X,,X,,,,,,0,,1,rostered,ARB1,ARB2,ARB3,UFA,,,,,,,,,,
Nick Kurtz,1B,OAK,AAA,TAC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Michael Massey,2B,KC,AAA,TAC,X,,X,,,,,,0,,1,rostered,ARB1,ARB2,ARB3,UFA,,,,,,,,,,
Gavin Lux,2B,LAD,AAA,TAC,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Cole Young,SS,SEA,AAA,TAC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Jace Jung,2B,DET,AAA,TAC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Marcelo Mayer,SS,BOS,AAA,TAC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Will Wilson,SS,SF,AAA,TAC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Pete Crow-Armstrong,OF,CHC,AAA,TAC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Masataka Yoshida,OF,BOS,AAA,TAC,X,,X,,,,,,1,,1,rostered,18000000,18000000,UFA,,,,,,,,,,,
J.J. Bleday,OF,OAK,AAA,TAC,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
John Means,SP,BAL,AAA,TAC,X,,X,,,,,,1,,1,rostered,4987500,UFA,,,,,,,,,,,,
Clarke Schmidt,SP,NYY,AAA,TAC,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Taijuan Walker,SP,PHI,AAA,TAC,X,,X,,,,,,1,,1,rostered,18000000,UFA,,,,,,,,,,,,
Gunnar Hoglund,SP,OAK,AAA,TAC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Max Meyer,SP,MIA,AAA,TAC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Jack Kochanowicz,SP,LAA,AAA,TAC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Jhony Brito,SP,SD,AAA,TAC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Chase Dollander,SP,COL,AAA,TAC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
J.T. Ginn,RP,OAK,AAA,TAC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Cade Smith,RP,CLE,AAA,TAC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
David Bednar,RP,PIT,AAA,TAC,X,,X,,,,,,0,,1,rostered,ARB3,UFA,,,,,,,,,,,,
Kevin Parada,C,NYM,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ricardo Olivar,C,MIN,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Blaze Jordan,1B,BOS,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dominic Keegan,1B,TB,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Aaron Sabato,1B,MIN,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Imanol Vargas,1B,LAD,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cody Morissette,2B,MIA,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Armstrong Muhoozi,2B,PIT,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Stiven King,2B,KC,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Termarr Johnson,2B,PIT,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nick Yorke,2B,PIT,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Wes Kath,3B,CHW,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tyler Keenan,3B,TOR,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alexander Mojica,3B,PIT,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gage Workman,3B,DET,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ronny Cruz,SS,CHC,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Maikol Escotto,SS,PIT,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Daniel Guilarte,SS,MIL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Maikol Hernandez,SS,BAL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alam Bruno,SS,ARI,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jack Lines,SS,TB,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Angel Genao,SS,CLE,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Mikey Romero,SS,BOS,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Estiven Machado,SS,TOR,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alejandro Pie,SS,TB,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josh Rivera,SS,CHC,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Adrian Santana,SS,TB,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Aiva Arquette,SS,MIA,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cooper Pratt,SS,MIL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Griff O'Ferrall,SS,BAL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Elijah Tatis,SS,CHW,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ambioris Tavarez,SS,ATL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Torres,SS,CIN,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Arol Vera,SS,LAA,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Freddy Zamora,SS,MIL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dasan Brown,OF,TOR,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brayan Buelvas,OF,OAK,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Daniel Cabrera,OF,DET,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Ramirez,OF,DET,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Maikol Rodrigues,OF,SEA,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Clark Elliott,OF,OAK,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jeferson Espinal,OF,TEX,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yhoswar Garcia,OF,PHI,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Joe Gray,OF,MIL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Slade Caldwell,OF,ARI,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Simon Juan,OF,NYM,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Joe Lampe,OF,CLE,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Junior Marin,OF,PHI,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Medina,OF,MIL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Royelny Strop,OF,STL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nolan Sailors,OF,KC,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ismael Mena,OF,CHC,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Mieses,OF,CHW,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ismael Munguia,OF,SF,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jordan Nwogu,OF,CHC,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alexander Ramirez,OF,LAA,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Waldschmidt,OF,ARI,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rayner Arias,OF,SF,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Devin Saltiban,OF,PHI,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Lolo Sanchez,OF,PIT,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nick Schnell,OF,TB,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Terrell Tatum,OF,CHW,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Misael Urbina,OF,MIN,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jake Bennett,P,WSH,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Drew Conover,P,OAK,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Seth Corry,P,SF,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
J.T. Quinn,P,BAL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Costeiu,P,LAA,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Boston Bateman,P,SD,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Andrade,P,TB,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Devers,P,CHC,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kash Mayfield,P,SD,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Robinson Smith,P,PIT,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
JJ Goss,P,TB,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
AJ Smith-Shawver,P,ATL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tink Hence,P,STL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bryce Hubbart,P,CIN,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Seth Keller,P,ATL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brett Kerry,P,LAA,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nate Knowles,P,(N/A),AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rhett Kouba,P,HOU,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cade Obermueller,P,PHI,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Asa Lacy,P,KC,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nathan Lavender,P,NYM,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Quinn Mathews,P,STL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Michael McGreevy,P,STL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Zach Root,P,LAD,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Matt Mikulski,P,SF,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Mason Miller,P,KC,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Nunez,P,BAL,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Eric Pardinho,P,TOR,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Junior Santos,P,NYM,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cannon Pickell,P,MIA,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Caden Scarborough,P,TEX,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
David Shields,P,KC,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
TJ Sikkema,P,KC,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Liam Simon,P,SF,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josh Simpson,P,MIA,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nic Swanson,P,HOU,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tahnaj Thomas,P,PIT,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Lenny Torres,P,CLE,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Norge Vera,P,CHW,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juaron Watts-Brown,P,TOR,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Corniell,P,TEX,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jackson Wolf,P,SD,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ben Hernandez,P,KC,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Beck Way,P,KC,AAA,TAC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
