name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Alejandro Kirk,C,TOR,AAA,TOL,X,,X,,,,,,1,,1,rostered,11600000,11600000,11600000,11600000,11600000,UFA,,,,,,,,
Will Smith,C,LAD,AAA,TOL,X,,X,,,,,,1,,1,rostered,12241285,12241285,12241285,12241285,12241285,12241285,12241285,12241285,UFA,,,,,
Andrew Vaughn,1B,CHW,AAA,TOL,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Lenyn Sosa,2B,CHW,AAA,TOL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Brice Turang,SS,MIL,AAA,TOL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Max Schuemann,SS,OAK,AAA,TOL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Ryan Bliss,SS,SEA,AAA,TOL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Zach Neto,SS,LAA,AAA,TOL,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Andruw Monasterio,SS,MIL,AAA,TOL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Mark Vientos,3B,NYM,AAA,TOL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Warming Bernabel,SS,COL,AAA,TOL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Alec Burleson,OF,STL,AAA,TOL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Byron Buxton,OF,MIN,AAA,TOL,X,,X,,,,,,1,,1,rostered,14285714,14285714,14285714,UFA,,,,,,,,,,
Juan Soto,OF,NYY,AAA,TOL,X,,X,,,,,,1,,1,rostered,46500000,46500000,46500000,46500000,46500000,46500000,46500000,UFA,,,,,,
Lane Thomas,OF,CLE,AAA,TOL,X,,X,,,,,,1,,1,rostered,11737500,11737500,11737500,11737500,UFA,,,,,,,,,
Ceddanne Rafaela,OF,BOS,AAA,TOL,X,,X,,,,,,1,,1,rostered,6250000,6250000,6250000,6250000,6250000,6250000,6250000,UFA,,,,,,
Tarik Skubal,SP,DET,AAA,TOL,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Andre Pallante,SP,STL,AAA,TOL,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Brady Singer,SP,KC,AAA,TOL,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Andrew Abbott,SP,CIN,AAA,TOL,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Corbin Burnes,SP,MIL,AAA,TOL,X,,X,,,,,,1,,1,rostered,23455500,23455500,23455500,23455500,UFA,,,,,,,,,
Quinn Priester,,,AAA,TOL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Tanner Scott,RP,MIA,AAA,TOL,X,,X,,,,,,1,,1,rostered,8550000,8550000,UFA,,,,,,,,,,,
Ian Gibaut,RP,CIN,AAA,TOL,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Anthony Bender,RP,MIA,AAA,TOL,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
