name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Austin Wells,C,NYY,AAA,WOR,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB3,ARB3,UFA,,,,,,,,,
Agustin Ramirez,C,MIA,AAA,WOR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB3,ARB3,UFA,,,,,,,,
Jake Bauers,1B,MIL,AAA,WOR,X,,X,,,,,,0,,1,rostered,2700000,UFA,,,,,,,,,,,,
Pete Alonso,1B,NYM,AAA,WOR,X,,X,,,,,,1,,1,rostered,30750000,30750000,30750000,30750000,UFA,,,,,,,,,
Brendan Donovan,2B,STL,AAA,WOR,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Jazz Chisholm,2B,MIA,AAA,WOR,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Willy Adames,SS,MIL,AAA,WOR,X,,X,,,,,,0,,1,rostered,18375000,18375000,UFA,,,,,,,,,,,
Masyn Winn,SS,STL,AAA,WOR,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jake Burger,3B,MIA,AAA,WOR,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jose Ramirez,3B,CLE,AAA,WOR,X,,X,,,,,,1,,1,rostered,20142857,20142857,20142857,UFA,,,,,,,,,,
Lawrence Butler,OF,ATH,AAA,WOR,X,,X,,,,,,1,,1,rostered,9357143,9357143,9357143,9357143,9357143,9357143,9357143,UFA,,,,,,
Matt Wallner,OF,MIN,AAA,WOR,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Chandler Simpson,OF,TB,AAA,WOR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Carlos Cortes,OF,ATH,AAA,WOR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
John Rave,OF,KC,AAA,WOR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
George Springer,OF,TOR,AAA,WOR,X,,X,,,,,,1,,1,rostered,25000000,UFA,,,,,,,,,,,,
Taylor Trammell,OF,SEA,AAA,WOR,X,,X,,,,,,0,,1,rostered,900000,UFA,,,,,,,,,,,,
Yordan Alvarez,U,HOU,AAA,WOR,X,,X,,,,,,1,,1,rostered,19166667,19166667,19166667,UFA,,,,,,,,,,
Hunter Brown,SP,HOU,AAA,WOR,X,,X,,,,,,0,,1,rostered,ARB 1,ARB2,ARB3,UFA,,,,,,,,,,
Michael King,SP,SD,AAA,WOR,X,,X,,,,,,1,,1,rostered,7750000,UFA,,,,,,,,,,,,
Kris Bubic,SP,KC,AAA,WOR,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Cristopher Sanchez,SP,PHI,AAA,WOR,X,,X,,,,,,1,,1,rostered,5625000,5625000,5625000,5625000,5625000,UFA,,,,,,,,
Zebby Matthews,SP,MIN,AAA,WOR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Michael Burrows,SP,PIT,AAA,WOR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Jack Perkins,SP,ATH,AAA,WOR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Ranger Suarez,SP,PHI,AAA,WOR,X,,X,,,,,,1,,1,rostered,13200000,13200000,UFA,,,,,,,,,,,
Robbie Ray,SP,SF,AAA,WOR,X,,X,,,,,,1,,1,rostered,8000000,UFA,,,,,,,,,,,,
Kody Funderburk,RP,MIN,AAA,WOR,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Fernando Cruz,RP,CIN,AAA,WOR,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Calvin Faucher,RP,MIA,AAA,WOR,x,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
JoJo Romero,RP,STL,AAA,WOR,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Lake Bachar,RP,MIA,AAA,WOR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
David Morgan,RP,SD,AAA,WOR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Justin Sterner,RP,ATH,AAA,WOR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Michael Carico,C,CHC,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nick Cimillo,C,PIT,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cesar Gonzalez,C,ATH,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Queni Pineda,C,NYY,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yasmil Bucce,C,BAL,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Conner O'Neal,C,LAD,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Richard Ramirez,C,PIT,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jancel Villarroel,C,HOU,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Joe Vetrano,1B,LAD,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
"Ernesto Martínez, Jr.",1B,MIL,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Marvin Alcantara,2B,BOS,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Justin Riemer,2B,BOS,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Riley Tirotta,2B,TOR,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Branny De Oleo,SS,NYM,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Dickson,SS,DET,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Phillip Glasser,SS,WSH,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jon Jon Gazdar,SS,STL,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Romeli Espinosa,SS,PHI,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Emilio Barreras,SS,MIA,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Leo Jimenez,SS,TOR,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Maximus Martin,SS,BOS,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Joshua Liranzo,SS,BAL,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kendrick Herrera,3B,PIT,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Eriandys Ramon,3B,CHC,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rafe Perich,3B,TEX,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kyle Karros,3B,COL,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Asbel Gonzalez,OF,KC,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carlos Pacheco,OF,ATH,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yorman Licourt,OF,TOR,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Matt Koperniak,OF,STL,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Ramos,OF,ATH,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Lara,OF,MIL,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Logan Braunschweig,OF,ATL,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Devin Taylor,OF,ATH,AAA,WOR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
