player_name,league_id,team_id,year,amount,type
Trayce Thompson,MLB,CHC,2026,2250000,
Avisail Garcia,MLB,CHC,2026,3600000,
Aledmys Diaz,MLB,CHC,2026,2955000,
Reese McGuire,MLB,CHW,2026,1365000,
PJ Higgins,MLB,CHW,2026,660000,
Jordan Montgomery,MLB,COL,2026,13250000,
Jordan Montgomery,MLB,COL,2027,13250000,
Jordan Montgomery,MLB,COL,2028,13250000,
Jose Quintana,MLB,DET,2026,8362500,
Jesse Winker,MLB,HOU,2026,3712500,
Carter Kieboom,MLB,KC,2026,1500000,
Carter Kieboom,MLB,KC,2027,1500000,
Noah Syndergaard,MLB,KC,2026,1000000,
Noah Syndergaard,MLB,KC,2027,1000000,
Zach Plesac,MLB,KC,2026,500000,
Scott McGough,MLB,KC,2026,1000000,
Scott McGough,MLB,KC,2027,1000000,
Orlando Arcia,MLB,KC,2026,11250000,
Orlando Arcia,MLB,KC,2027,7500000,
Orlando Arcia,MLB,KC,2028,7500000,
Alex Wood,MLB,KC,2026,2625000,
Mike Clevinger,MLB,KC,2026,7312500,
Dairon Blanco,MLB,KC,2026,2250000,
Gary Sanchez,MLB,LAA,2026,4050000,
Peter Lambert,MLB,LAA,2026,380000,
Peter Lambert,MLB,LAA,2027,390000,
Mitch Haniger,MLB,LAA,2026,4500000,
Chad Green,MLB,LAA,2026,1750000,
Yennier Cano,MLB,LAA,2026,5000000,
Yennier Cano,MLB,LAA,2027,5000000,
Yennier Cano,MLB,LAA,2028,5000000,
Tyler Naquin,MLB,LAD,2026,1811250,
Trevor Stephan,MLB,LAD,2026,228000,
Connor Gillispie,MLB,MIA,2026,228000,
Elvin Rodriguez,MLB,MIA,2026,570000,
Elvin Rodriguez,MLB,MIA,2027,390000,
Elvin Rodriguez,MLB,MIA,2028,390000,
Elvin Rodriguez,MLB,MIA,2029,390000,
Elvin Rodriguez,MLB,MIA,2030,390000,
Peter Strzelecki,MLB,MIL,2026,450000,
Chris Stratton,MLB,MIL,2026,1147500,
Joc Pederson,MLB,NYM,2026,4530000,
Mitch Garver,MLB,NYM,2026,570000,
Mitch Garver,MLB,NYM,2027,390000,
Randy Dobnak,MLB,NYY,2026,1800000,
Randy Dobnak,MLB,NYY,2027,2100000,
Randy Dobnak,MLB,NYY,2028,2550000,
Alex Cobb,MLB,NYY,2026,5000000,
Clayton Kershaw,MLB,NYY,2026,8050000,
John Schreiber,MLB,NYY,2026,2475000,
David Fletcher,MLB,NYY,2026,6000000,
David Fletcher,MLB,NYY,2028,4250000,
Jorge Lopez,MLB,MIN,2026,7125000,
Adalberto Mondesi,MLB,SD,2026,2283750,
Adalberto Mondesi,MLB,SD,2027,2283750,
Adalberto Mondesi,MLB,SD,2028,2283750,
Kyle Hart,MLB,SD,2026,1000000,
Giancarlo Stanton,MLB,SD,2026,14500000,
Jonathan Hernandez,MLB,SEA,2026,380000,
Jonathan Hernandez,MLB,SEA,2027,390000,
Jonathan Hernandez,MLB,SEA,2028,400000,
Mookie Betts,MLB,SEA,2026,15000000,
Jonathan Hernandez,MLB,SEA,2026,380000,
Jonathan Hernandez,MLB,SEA,2027,390000,
Jonathan Hernandez,MLB,SEA,2028,400000,
Jesus Aguilar,MLB,STL,2026,1300000,
Jesus Aguilar,MLB,STL,2027,1300000,
Taijuan Walker,MLB,STL,2026,6750000,
Austin Voth,MLB,STL,2026,1650000,
Kevin Newman,MLB,STL,2026,2550000,
Evan White,MLB,TB,2026,3000000,
Evan White,MLB,TB,2027,3300000,
Evan White,MLB,TB,2028,3750000,
Jose Urquidy,MLB,TEX,2026,1200000,
Aaron Bummer,MLB,TEX,2026,2250000,
Bruce Zimmermann,MLB,TOR,2026,555000,
Naoyuki Uwasawa,MLB,TOR,2026,2500000,
Naoyuki Uwasawa,MLB,TOR,2027,1500000,
Naoyuki Uwasawa,MLB,TOR,2028,1500000,
Hunter Renfroe,MLB,TOR,2026,5355000,
Easton McGee,MLB,TOR,2026,228000,
Brendon Bielak,MLB,WSH,2026,380000,
Shintaro Fujinami,MLB,WSH,2026,2000000,
Shintaro Fujinami,MLB,WSH,2027,2000000,
Ross Stripling,MLB,WSH,2026,5200000,
Ben Lively,MLB,WSH,2026,5000000,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
