ID,Player,Team,Position,RkOv,Status,Age,Opponent,FPts,FP/G,%D,ADP,Ros,+/-
*03pir*,Kyle Tucker,(N/A),OF,10,FA,28,,526,3.6,100,17.1,97%,0%
*03cag*,Kyle Schwarber,PHI,UT,12,FA,32,,525.5,3.26,100,14.9,96%,0%
*02jh6*,Eugenio Suarez,(N/A),3B,42,FA,34,,445.5,2.8,100,69.8,95%,0%
*01usi*,Marcell Ozuna,(N/A),UT,55,FA,35,,431,2.89,100,241.2,82%,1%
*03df2*,Dylan Cease,TOR,SP,91,FA,30,,395,12.34,100,72.4,97%,0%
*0316j*,Nick Pivetta,SD,SP,92,FA,32,,394,13.13,100,80.5,96%,0%
*02bqr*,Blake Snell,LAD,SP,103,FA,33,,388,14.92,100,63.7,96%,0%
*05y3u*,Munetaka Murakami,CHW,3B,135,FA,25,,365,2.35,100,175.4,78%,1%
*01ut7*,Nathan Eovaldi,TEX,SP,147,FA,35,,360.5,13.87,100,154.8,96%,0%
*02iug*,Michael Wacha,KC,SP,166,FA,34,,352,11.73,100,291.5,83%,0%
*02hj7*,Merrill Kelly,ARI,SP,172,FA,37,,349,11.63,100,211.3,90%,0%
*03pit*,Trent Grisham,NYY,OF,176,FA,29,@SF Wed 5:05PM,347.5,2.56,100,196.3,89%,1%
*02c2h*,Chris Bassitt,(N/A),SP,182,FA,36,,345.5,11.15,98,300.5,84%,0%
*02bx4*,Clay Holmes,NYM,SP,186,FA,32,,343,11.06,100,276.5,88%,0%
*01s8u*,Mike Trout,LAA,"OF,UT",188,FA,34,,342,2.78,100,144.4,95%,0%
*031d4*,Zack Littell,(N/A),SP,195,FA,30,,337.5,10.89,98,321.1,80%,0%
*031dw*,Mike Yastrzemski,ATL,OF,196,FA,35,,337.5,2.54,98,376.9,60%,0%
*06fzu*,Kazuma Okamoto,TOR,"1B,3B",216,FA,29,,322,2.24,100,274.6,73%,1%
*02x0f*,Sean Manaea,NYM,SP,225,FA,33,,317.5,11.34,100,317.7,78%,1%
*02c4q*,Nick Martinez,(N/A),"SP,RP",241,FA,35,,309.5,11.46,94,415.3,56%,0%
*03dgq*,Ryan OHearn,PIT,"1B,OF",245,FA,32,,307,2.46,100,329.3,80%,1%
*03qr0*,Cedric Mullins,TB,OF,263,FA,31,,298,2.33,99,291.1,77%,0%
*02i37*,Lucas Giolito,(N/A),SP,267,FA,31,,296.5,10.59,99,300.9,85%,1%
*04eej*,Gavin Sheets,SD,OF,272,FA,29,,295,2.27,98,347.8,67%,1%
