"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-"
"*03pjd*","Josh Naylor","SEA","1B","34","FA","28","","458.5","3.16","100","59.4","96%","0%"
"*01usi*","Marcell Ozuna","(N/A)","UT","55","FA","35","","431","2.89","100","243.3","78%","0%"
"*02bq2*","Brandon Nimmo","TEX","OF","56","FA","32","","429.5","2.83","100","105.8","95%","0%"
"*04auj*","Framber Valdez","(N/A)","SP","62","FA","32","","425.5","14.18","100","76.6","97%","0%"
"*01uca*","Chris Sale","ATL","SP","83","FA","36","","405","15.58","100","39.9","96%","0%"
"*03mew*","Luis Arraez","(N/A)","1B","93","FA","28","","393.5","2.62","100","282.1","89%","0%"
"*041qo*","Zac Gallen","(N/A)","SP","114","FA","30","","381.5","11.92","100","181","95%","0%"
"*05y3u*","Munetaka Murakami","CHW","3B","135","FA","25","","365","2.35","100","180.2","68%","+1%"
"*02hj7*","Merrill Kelly","ARI","SP","172","FA","37","","349","11.63","100","213.4","88%","0%"
"*03pit*","Trent Grisham","NYY","OF","176","FA","29","@SF Wed 5:05PM","347.5","2.56","100","195.5","88%","0%"
"*02n4s*","Matthew Boyd","CHC","SP","183","FA","34","","344","11.86","100","188","94%","0%"
"*02yd1*","Jorge Polanco","NYM","2B","191","FA","32","","340","2.76","100","205.8","88%","0%"
"*03sef*","Seth Lugo","KC","SP","192","FA","36","","339.5","11.32","100","302","83%","0%"
"*031dw*","Mike Yastrzemski","ATL","OF","196","FA","35","","337.5","2.54","98","397.4","58%","0%"
"*03dp8*","Ramon Laureano","SD","OF","215","FA","31","","323","2.65","100","202.1","80%","0%"
"*06fzu*","Kazuma Okamoto","(N/A)","1B,3B","216","FA","29","","322","2.24","100","289.6","58%","0%"
"*02c4q*","Nick Martinez","(N/A)","SP","241","FA","35","","309.5","11.46","92","419.9","53%","0%"
"*04t3y*","Alejandro Kirk","TOR","C","244","FA","27","","307","2.46","100","213.1","89%","0%"
"*03dgq*","Ryan OHearn","PIT","1B,OF","245","FA","32","","307","2.46","100","338.8","75%","0%"
"*03qr0*","Cedric Mullins","TB","OF","263","FA","31","","298","2.33","98","292.7","74%","+1%"
"*02i37*","Lucas Giolito","(N/A)","SP","267","FA","31","","296.5","10.59","98","303.8","85%","0%"
"*070bf*","Sung Mun Song","SD","3B","274","FA","29","","294","2.19","30","466.6","28%","+1%"
"*025i9*","J.T. Realmuto","(N/A)","C","292","FA","34","","285.5","2.36","100","277.1","79%","0%"
"*01xfr*","Patrick Corbin","(N/A)","SP","293","FA","36","","284.5","9.18","17","476.1","27%","0%"
"*06ktn*","Tatsuya Imai","(N/A)","SP","296","FA","27","","284","11.83","100","172.4","60%","0%"
"*06rrd*","Young Woong Kim","(N/A)","3B","299","FA","22","","283","2.05","21","470","10%","+1%"
"*04etg*","Janson Junk","MIA","SP","306","FA","29","","280.5","11.69","59","481.4","42%","0%"
"*03bin*","Nestor Cortes Jr.","(N/A)","SP","315","FA","31","","277","10.26","11","474.1","31%","0%"
"*03whq*","Ty France","(N/A)","1B","324","FA","31","","272.5","2.25","21","496.2","24%","0%"
"*01c1g*","Andrew McCutchen","(N/A)","UT","329","FA","39","","269","2.32","24","470","24%","0%"
"*02h9r*","Miles Mikolas","(N/A)","SP","335","FA","37","","266","8.58","11","474.8","21%","0%"
"*000dp*","Justin Verlander","(N/A)","SP","337","FA","42","","264.5","10.17","89","442","56%","0%"
"*048tn*","Carlos Narvaez","BOS","C","345","FA","27","","259.5","2.09","98","356.4","65%","0%"
"*041sq*","Tommy Edman","LAD","2B,OF","346","FA","30","","259","2.4","98","306","79%","0%"
"*02mv0*","Andrew Heaney","LAD","SP","355","FA","34","","254","9.77","0","-","17%","0%"
"*02nb6*","Drew Anderson","DET","RP","357","FA","31","","253.5","10.56","26","477.1","14%","0%"
"*03dbe*","Austin Gomber","CHC","SP","365","FA","32","","249.5","8.91","3","460.6","10%","0%"
"*041qr*","Aaron Civale","(N/A)","SP","368","FA","30","","246","10.25","53","499","37%","0%"
"*03avk*","Luis Rengifo","(N/A)","2B,3B","373","FA","28","","245","2.19","64","444.9","42%","0%"
"*04emu*","Eric Wagaman","MIA","1B,OF","380","FA","28","","242","2.1","24","476.6","26%","0%"
"*01cfr*","Carlos Santana","CHC","1B","383","FA","39","","240.5","2.43","8","478.4","21%","0%"
"*026mq*","Tyler Anderson","(N/A)","SP","387","FA","35","","237.5","9.13","5","470.4","20%","0%"
"*041r5*","Dustin May","STL","SP","390","FA","28","","236.5","9.85","92","436.2","75%","0%"
"*03qne*","Chris Paddack","(N/A)","SP","393","FA","29","","234","9","9","476.6","21%","0%"
"*02mxf*","Carson Kelly","CHC","C","395","FA","31","","232.5","2.33","98","354.2","66%","0%"
"*026qc*","Joc Pederson","TEX","UT","402","FA","33","","229.5","2.49","30","481.1","24%","0%"
"*03yxh*","Cal Quantrill","TEX","SP","414","FA","30","","224","8.3","0","-","13%","0%"
"*026mn*","Javier Baez","DET","3B,SS,OF","429","FA","33","","217","1.99","61","437.8","50%","0%"
"*04eek*","Griffin Canning","(N/A)","SP","432","FA","29","","216","9.82","14","490.7","34%","0%"
"*02brc*","Adrian Houser","SF","SP","433","FA","32","NYY Wed 5:05PM","216","9.82","52","483.5","50%","0%"
"*0312v*","Mike Tauchman","(N/A)","OF","445","FA","35","","210","2.28","11","474.2","17%","0%"
"*01seh*","Alex Cobb","(N/A)","SP","451","FA","38","","205","11.39","0","-","10%","0%"
"*02bxv*","Jon Gray","(N/A)","RP","457","FA","34","","202","10.1","0","-","14%","0%"
"*041mb*","Anthony Kay","CHW","RP","458","FA","30","","202","10.1","52","481.3","21%","+1%"
"*03caf*","Foster Griffin","WSH","SP,RP","459","FA","30","","201.5","10.07","25","490.1","18%","0%"
"*032gq*","Rowdy Tellez","(N/A)","1B","467","FA","30","","197","2.4","11","485.3","11%","0%"
"*02i3l*","Miguel Andujar","(N/A)","3B,OF","478","FA","30","","188.5","2.51","32","470.4","35%","0%"
"*025kd*","Jose Quintana","(N/A)","SP","483","FA","36","","188","9.4","70","460.2","51%","0%"
"*0311c*","Devin Williams","NYM","RP","499","FA","31","","181.5","2.67","100","192.2","91%","0%"
"*05xze*","Jason Alexander","HOU","SP","500","FA","32","","180.5","9.03","14","472.3","18%","0%"
"*067xv*","Woo Jin An","(N/A)","SP","506","FA","26","","178.5","9.92","0","-","2%","0%"
"*01s9k*","Starling Marte","(N/A)","UT","509","FA","37","","177.5","2.31","8","480.4","15%","0%"
"*03aqw*","Mauricio Dubon","ATL","2B,3B,SS,OF","511","FA","31","","176","2.12","29","467.7","24%","0%"
"*031cd*","Mitch Garver","(N/A)","C","516","FA","34","","170.5","2.24","20","496.7","16%","0%"
"*03aqv*","Raisel Iglesias","ATL","RP","517","FA","35","","170.5","2.51","100","197.7","88%","+1%"
"*05152*","Tanner Gordon","COL","SP","524","FA","28","","166","8.3","0","-","11%","0%"
"*02mwg*","Jesse Winker","(N/A)","UT","530","FA","32","","164","2.38","5","474.1","14%","0%"
"*05ajg*","Ha-seong Kim","ATL","SS","532","FA","30","","163","2.43","98","328.2","67%","0%"
"*03qo2*","LaMonte Wade Jr.","(N/A)","1B,OF","543","FA","31","","159","2.21","6","475.1","7%","0%"
"*0311f*","Victor Caratini","(N/A)","C","544","FA","32","","158.5","2.44","26","460","23%","0%"
"*041w3*","Eli White","ATL","OF","545","FA","31","","158.5","2.2","9","480.7","12%","0%"
"*03qml*","Dylan Moore","(N/A)","2B,OF","550","FA","33","","154","2.26","18","485.3","16%","0%"
"*04pqf*","Nick Fortes","TB","C","551","FA","29","","153.5","1.69","18","492.9","12%","0%"
"*031cy*","Emilio Pagan","CIN","RP","554","FA","34","","151","2.25","100","279.4","85%","0%"
"*04em6*","Will Vest","DET","RP","555","FA","30","","151","2.25","100","315.4","83%","0%"
"*02mwd*","Paul Blackburn","(N/A)","RP","556","FA","32","","149.5","9.34","2","464.1","7%","0%"
"*02h9j*","Michael A. Taylor","(N/A)","OF","558","FA","34","","149.5","1.62","2","463.2","6%","0%"
"*0311b*","Trevor Williams","WSH","SP","560","FA","33","","149","9.31","0","-","11%","0%"
"*04eer*","Drew Waters","KC","OF","565","FA","26","","147.5","1.78","0","-","14%","0%"
"*01fhm*","Martin Perez","(N/A)","SP","573","FA","34","","144.5","9.63","5","474.5","22%","0%"
"*02z96*","Dominic Smith","(N/A)","1B","578","FA","30","","141.5","2.11","3","470.5","6%","0%"
"*01te5*","Donovan Solano","(N/A)","1B","579","FA","38","","141.5","1.99","0","-","6%","0%"
"*03qkh*","Paul DeJong","(N/A)","3B","580","FA","32","","141","1.96","3","467.1","11%","0%"
"*01s98*","Jose Iglesias","(N/A)","2B,3B,SS","581","FA","35","","140","2.06","9","476.6","8%","0%"
"*0316v*","Jake Bauers","MIL","1B,OF","590","FA","30","","136","2.52","24","480.8","16%","0%"
"*02i1q*","Orlando Arcia","(N/A)","2B,3B,SS","592","FA","31","","135.5","1.83","5","468.8","10%","0%"
"*02c47*","Shawn Armstrong","CLE","RP","625","FA","35","","122","1.82","24","478.1","29%","0%"
"*031ey*","Eric Lauer","TOR","SP","626","FA","30","","122","4.52","70","449.2","49%","-1%"
"*01lum*","Justin Turner","(N/A)","1B","628","FA","41","","122","2.35","0","-","8%","0%"
"*04ekf*","Calvin Faucher","MIA","RP","633","FA","30","","120.5","1.88","67","433.9","45%","0%"
"*02nqg*","Luis Torrens","NYM","C","634","FA","29","","120.5","1.8","11","479.9","11%","0%"
"*051e5*","Matt Waldron","SD","SP","636","FA","29","","120","8.57","3","463.1","15%","0%"
"*03av1*","Jake Rogers","DET","C","639","FA","30","","119.5","2.03","6","472.7","11%","0%"
"*03qqb*","Myles Straw","TOR","OF","641","FA","31","","119","1.98","6","469.5","10%","0%"
"*03qwa*","Phil Maton","CHC","RP","643","FA","32","","118","1.79","24","464.8","36%","0%"
"*031bl*","Kyle Finnegan","DET","RP","645","FA","34","","117","1.95","97","371.3","71%","0%"
"*05y4m*","Tim Tawa","ARI","1B,2B,OF","647","FA","26","","117","2.02","21","484.4","18%","0%"
"*03fhx*","Elias Diaz","(N/A)","C","656","FA","35","","114.5","1.94","5","470.9","10%","0%"
"*02xid*","Albert Suarez","(N/A)","RP","657","FA","36","","114.5","3.95","0","-","8%","0%"
"*025it*","Jason Adam","SD","RP","662","FA","34","","113.5","1.83","21","499.1","45%","0%"
"*04auk*","Seranthony Dominguez","(N/A)","RP","663","FA","31","","113.5","1.67","14","489.1","24%","0%"
"*04oct*","Josh Rojas","CHW","2B,3B","665","FA","31","","112.5","1.79","0","-","6%","-1%"
"*01as6*","Carlos Carrasco","ATL","SP","667","FA","38","","111.5","7.96","0","-","5%","0%"
"*04eep*","Luis Campusano","SD","UT","670","FA","27","","111","2.22","12","479.1","16%","0%"
"*0374m*","Tyler Rogers","TOR","RP","675","FA","35","","110.5","1.47","21","485.6","41%","0%"
"*01sev*","Wade Miley","(N/A)","SP","678","FA","39","","109.5","9.12","0","-","4%","0%"
"*04azt*","Riley Adams","WSH","C","684","FA","29","","108","1.61","8","477.3","7%","0%"
"*050ok*","Yennier Cano","BAL","RP","685","FA","31","","108","1.59","3","466.6","20%","0%"
"*03022*","Hunter Renfroe","KC","OF","689","FA","33","","107.5","2.11","0","-","7%","0%"
"*041w4*","Bryan Baker","TB","RP","692","FA","31","","106","1.56","21","496.6","22%","-1%"
"*03dei*","Lane Thomas","KC","OF","695","FA","30","","105.5","2.4","62","443.3","43%","0%"
"*029us*","Christian Vazquez","(N/A)","C","696","FA","35","","105.5","1.67","2","465.7","4%","0%"
"*052c7*","Valente Bellozo","(N/A)","RP","697","FA","25","","105","8.75","0","-","9%","0%"
"*01c5o*","Jason Heyward","SD","OF","701","FA","36","","104.5","2.32","0","-","4%","0%"
"*03qju*","Garrett Cleavinger","TB","RP","704","FA","31","","104","1.58","29","476.3","34%","-1%"
"*0313t*","Tyler Kinley","(N/A)","RP","708","FA","34","","103.5","1.46","12","491.9","13%","0%"
"*005m0*","David Robertson","(N/A)","RP","709","FA","40","","103.5","1.92","3","466.5","9%","0%"
"*026rz*","Gio Urshela","ATH","3B","710","FA","34","","103","1.98","0","-","6%","0%"
"*0440h*","Jose Urquidy","DET","RP","711","FA","30","","102.5","10.25","8","476.9","14%","0%"
"*02hdy*","Pierce Johnson","(N/A)","RP","712","FA","34","","102","1.59","6","471.6","11%","0%"
"*04aok*","Gregory Soto","PIT","RP","717","FA","30","","101","1.4","9","478.5","20%","0%"
"*060ml*","Huascar Brazoban","NYM","RP","722","FA","36","","100","1.92","0","-","11%","0%"
"*0312l*","Brad Keller","PHI","RP","723","FA","30","","100","1.75","29","471.1","39%","0%"
"*02h8d*","Steven Matz","TB","RP","725","FA","34","","100","1.92","17","489.1","24%","0%"
