BUFFALO BISONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Keith,,,,MLB,,,21,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,21,,Years Paid,,,Payroll,,"81,260,000","67,400,000","67,400,000","67,400,000",0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,46-69,,,,Minors,,,84,,Status,,,Dead Money,,"23,500,000","750,000.00","750,000.00",0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,5,,Future Status,,,Total Payroll,,"104,760,000","68,150,000","68,150,000","67,400,000",0,0,0,0,0,0,0,0,0
,,,,NL East Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"136,240,000","175,850,000","175,850,000","176,600,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,77.57%,98.90%,98.90%,100.00%,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,22.43%,1.10%,1.10%,0.00%,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Dalton Rushing,LAD,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,2B,Jonathan India,KC,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,2B,Davis Schneider,TOR,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Tyler Freeman,CLE,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Joey Ortiz,MIL,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Jurickson Profar,ATL,"12,500,000","12,500,000","12,500,000","12,500,000",UFA,,,,,,,,
