Charlotte Knights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Cristian,,,,MLB,,,36,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2022,,,,40 Man,,,36,,Years Paid,,,Payroll,,"148,854,286","118,164,286","99,114,286","15,214,286","15,214,286",0,0,0,0,0,0,0,0
,,,,Franchise Record,,,70-45,,,,Minors,,,84,,Status,,,Dead Money,,"7,250,000","7,250,000",0.00,0.00,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,1,,,,Rotation,,,3,,Future Status,,,Total Payroll,,"156,104,286","125,414,286","99,114,286","15,214,286","15,214,286",0,0,0,0,0,0,0,0
,,,,AL Central Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"84,895,714","118,585,714","144,885,714","228,785,714","228,785,714","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,95.36%,94.22%,100.00%,100.00%,100.00%,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,4.64%,5.78%,0.00%,0.00%,0.00%,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Jake Rogers,DET,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,C,Carson Kelly,CHC,"4,300,000","4,300,000",UFA,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,C,Adrian Del Castillo,ARI,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,1B,Romy Gonzalez,BOS,"4,000,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,1B,Josh Bell,WSH,"13,000,000",UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,2B,Andres Gimenez,CLE,"15,214,286","15,214,286","15,214,286","15,214,286","15,214,286",UFA,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,2B,Zack Short,NYM,ARB1,ARB2,ARB3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SS,Paul Dejong,FA,"4,000,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Colson Montgomery,CHW,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,3B,Matt Vierling,DET,ARB2,ARB3,UFA,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,3B,Jared Triolo,PIT,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,OF,Corey Julks,HOU,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,OF,Alan Roden,TOR,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,OF,James Outman,LAD,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Adolis Garcia,TEX,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,OF,Jose Azocar,NYM,"760,000",ARB 1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Parker Meadows,DET,"760,000",ARB 1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Michael Conforto,LAD,"15,000,000","15,000,000",UFA,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Zack Wheeler,PHI,"35,400,000","35,400,000","35,400,000",UFA,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Eduardo Rodriguez,ARI,"20,000,000","20,000,000","20,000,000",UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Mitchell Parker,WSH,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Carson Whisenhunt,SF,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Jack Flaherty,DET,"21,000,000","21,000,000","21,000,000",UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Hunter Stratton,PIT,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Jason Adam,TB,ARB 4,UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Tristan Beck,SF,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Connor Thomas,MIL,"760,000",UFA,,,,,,,,,,,
,X,,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Noah Murdock,OAK,"760,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,RP,Jared Shuster,CHW,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Jason Foley,DET,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Sam Hentges,CLE,ARB 3,ARB 4,UFA,,,,,,,,,,
,X,,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Trevor Stephan,CLE,"2,500,000","7,250,000","7,500,000",UFA,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Will Klein,LAD,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Ryan Thompson,ARI,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Orion Kerkering,PHI,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Ronny Henriquez,MIA,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
X,,X,,,,12/30,25,,,,X,X,X,X,,,,RP,Ben Brown,CHC,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Mike Vasil,NYM,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
