JACKSONVILLE JUMBO SHRIMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Bradley,,,,MLB,,,38,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,38,,Years Paid,,,Payroll,,"193,919,761","147,279,761","93,529,761","83,029,761","64,196,432","18,625,000","33,375,000","33,375,000","8,375,000",0,0,0,0
,,,,Franchise Record,,,66-49,,,,Minors,,,105,,Status,,,Dead Money,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,7,,Future Status,,,Total Payroll,,"193,919,761","147,279,761","93,529,761","83,029,761","64,196,432","18,625,000","33,375,000","33,375,000","8,375,000",0,0,0,0
,,,,NL Central Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"47,080,239","96,720,239","150,470,239","160,970,239","179,803,568","225,375,000","210,625,000","210,625,000","235,625,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,C,Luis Campusano,SD,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,C,Danny Jansen,TB,"13,000,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,C,Samuel Basallo,BAL,"8,375,000","8,375,000","8,375,000","8,375,000","8,375,000","8,375,000","8,375,000","8,375,000","8,375,000",UFA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,1B,Matt Olson,ATL,"21,000,000","21,000,000","21,000,000","21,000,000","21,000,000",UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,2B,Luis Arraez,MIA,"21,000,000","21,000,000",UFA,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,2B,Hyeseong Kim,LAD,"35,000,000","35,000,000",UFA,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SS,J.P. Crawford,SEA,"10,200,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,2B,Tim Tawa,AZ,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,2B,Ronny Simon,TB,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,3B,Brett Baty,NYM,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,SS,Liover Peguero,PIT,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Jung Hoo Lee,SF,"18,833,333","18,833,333","18,833,333","18,833,333",UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Jackson Chourio,MIL,"10,250,000","10,250,000","10,250,000","10,250,000","10,250,000","10,250,000","25,000,000","25,000,000",UFA,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Taylor Ward,LAA,ARB 4,UFA,,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,OF,Sam Haggerty,SEA,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Richie Palacios,TB,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,OF,Josh Palacios,PIT,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Jake Meyers,HOU,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,OF,Grant McCray,SF,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Julian Aguiar,CIN,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Brant Hurter,DET,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SP,Graham Ashcraft,CIN,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Aaron Nola,PHI,"24,571,428","24,571,428","24,571,428","24,571,428","24,571,432",UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Bryan Woo,SEA,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Garrett Whitlock,BOS,"7,500,000","8,250,000","10,500,000",UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Kutter Crawford,BOS,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Ryan Weathers,MIA,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Erick Fedde,CWS,"11,250,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SP,Ken Waldichuk,OAK,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SP,Christian Scott,NYM,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Hayden Birdsong,SFG,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Connor Gillispie,MIA,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Ryan Walker,SF,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Alex Vesia,LAD,"2,300,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,RP,Prelander Berroa,CHW,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Garrett Cleavinger,TB,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,RP,Zack Thompson,STL,ARB1,ARB2,ARB3,UFA,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Jacob Webb,BAL,ARB 3,UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,X,,,,,,,,,,,,,,,,,C,Daiverson Gutierrez,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Grant Knipp,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Khadim Diaw,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Alirio Ferrebus,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Sir Jamison Jones,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Andruw Musett,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Ivan Luciano,ARI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Dylan Fien,ATH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Marco Dinges,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Eduardo Tait,PHI,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Jeremiah Jenkins,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Will Simpson,OAK,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Tyler Callihan,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Tanner Murray,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Emilien Pitre,TB,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Caden Powell,HOU,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Cayden Wallace,WSH,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Ashly Andujar,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Camilo Diaz,HOU,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Colt Emerson,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Elijah Hainline,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Daniel Rodriguez,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Tytus Cissell,ARI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Devin Fitz-Gerald,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Christopher Acosta,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,A.J. Ewing,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Cam Devanney,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Billy Carlson,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Curley Martha,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Trey Snyder,NYM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Zach Cole Jr.,HOU,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Chase DeLauter,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Adriel Radney,ARI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Casey Saucke,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Nelly Taylor,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Bo Walker,ARI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Wilberson De Pena,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Zach Ehrhard,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Kenny Fenelon,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Colton Ledbetter,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Kellon Lindsey,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Hendry Mendez,PHI,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jackson Baumeister,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Josh Bostick,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Maddux Bruns,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Isaac Coffey,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Austin Gordon,LAA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Brandon Neely,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Matthew Fisher,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Davian Garcia,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Caden Favors,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,McLane Moody,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Kade Woods,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Peter Kussow,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Lebarron Johnson,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Eduardo Rivera,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Andrew Dutkanych,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Zach Swanson,DET,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Peyton Olejnik,LAA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Brendan Girton,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Will Watson,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Grant Shepardson,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Ethan Bagwell,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Mack Estrada,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Shane Panzini,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Parker Smith,HOU,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jayden Dubanewicz,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Nate Dohm,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Chase Mobley,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Kenya Huggins,ATH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Blake Dickerson,DET,,,,,,,,,,,,,
