LEHIGH VALLEY IRONPIGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Mark,,,,MLB,,,23,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,23,,Years Paid,,,Payroll,,"129,032,525","73,452,525","31,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525",0
,,,,Franchise Record,,,51-64,,,,Minors,,,32,,Status,,,Dead Money,,"21,562,500","13,000,000","500,000",0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,6,,Future Status,,,Total Payroll,,"150,595,025","86,452,525","31,752,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525",0
,,,,NL Central Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"90,404,975","157,547,475","212,247,475","217,747,475","217,747,475","217,747,475","217,747,475","217,747,475","217,747,475","217,747,475","217,747,475","217,747,475","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,85.68%,84.96%,98.43%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,14.32%,15.04%,1.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Francisco Alvarez,NYM,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Dillon Dingler,DET,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,1B,Michael Busch,CHC,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,2B,Jorge Polanco,FA,"5,000,000","5,000,000","5,000,000",UFA,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,2B,Isaac Collins,MIL,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Thomas Saggese,STL,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,3B,Matt Chapman,SFG,"18,000,000","18,000,000",UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SS,Bobby Witt Jr.,KC,"26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525","26,252,525",UFA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Nick Castellanos,PHI,"20,000,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Johnathan Rodriguez,CLE,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,24,,,,,,,,,,,OF,Victor Scott II,STL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
