MEMPHIS REDBIRDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,DJ,,,,MLB,,,19,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,19,,Years Paid,,,Payroll,,"40,420,000","43,400,000","32,400,000",0,0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,51-64,,,,Minors,,,32,,Status,,,Dead Money,,"9,450,000","2,550,000",0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,6,,Future Status,,,Total Payroll,,"49,870,000","45,950,000","32,400,000",0,0,0,0,0,0,0,0,0,0
,,,,NL Central Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"191,130,000","198,050,000","211,600,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,81.05%,94.45%,100.00%,,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,18.95%,5.55%,0.00%,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Blake Sabol,SF,ARB1,ARB2,ARB3,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Yainer Diaz,HOU,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,1B,Ryan Mountcastle,BAL,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,24,,,,,,,,,,,1B,Joey Meneses,WSH,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,1B,Darick Hall,PHI,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Nick Gordon,MIN,ARB 3,ARB 4,UFA,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Ezequiel Tovar,COL,ARB 1,ARB 2,ARB 3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,24,,,,,,,,,,,OF,Jake McCarthy,ARI,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Ronald Acuna Jr.,ATL,"12,500,000","17,000,000","17,000,000",UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Will Benson,CIN,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Braxton Garrett,MIA,ARB2,ARB3,ARB4,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Mackenzie Gore,WSH,ARB2,ARB3,ARB 4,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Edward Cabrera,MIA,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Bryce Elder,ATL,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Mitch Keller,PIT,"15,400,000","15,400,000","15,400,000",UFA,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Jordan Hicks,SF,"11,000,000","11,000,000",UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Ian Hamilton,NYY,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Ben Joyce,LAA,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Dylan Dodd,ATL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,X,,,,,,,,,,,,,,,,,C,Franklin Rojas,TOR,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Jack Gurevitch,STL,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Owen Miller,MIL,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Edgar Montero,OAK,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Damiano Palmegiani,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Raynier Ramirez,LAD,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Daiber De Los Santos,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Angel Guzman,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Gustavo Melendez,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Braden Shewmake,CHW,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jordyn Adams,LAA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Henry Bolte,OAK,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Vance Honeycutt,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Paris Johnson,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,D'Shawn Knowles,LAA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Marcus Phillips,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Leonardo Pineda,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Javier Vaz,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Francisco Vilorio,NYY,,,,,,,,,,,,,
