NASHVILLE SOUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Brad,,,,MLB,,,25,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2025,,,,40 Man,,,25,,Years Paid,,,Payroll,,"51,098,333","44,258,333","44,258,333","35,333,333","28,333,333","28,333,333","28,333,333",0,0,0,0,0,0
,,,,Franchise Record,,,0-0,,,,Minors,,,72,,Status,,,Dead Money,,"400,000",0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,4,,Future Status,,,Total Payroll,,"51,498,333","44,258,333","44,258,333","35,333,333","28,333,333","28,333,333","28,333,333",0,0,0,0,0,0
,,,,NL Central Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"189,501,667","199,741,667","199,741,667","208,666,667","215,666,667","215,666,667","215,666,667","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,99.22%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,0.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,C,Henry Davis,PIT,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,C,Riley Adams,WSH,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,C,Sam Huff,SFG,ARB 1,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,
