OMAHA STORM CHASERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Chris,,,,MLB,,,40,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,40,,Years Paid,,,Payroll,,"170,812,500","97,862,500","52,862,500","47,112,500","47,112,500","47,112,500","21,200,000","21,200,000",0,0,0,0,0
,,,,Franchise Record,,,69-46,,,,Minors,,,84,,Status,,,Dead Money,,"600,000",0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,6,,Future Status,,,Total Payroll,,"171,412,500","97,862,500","52,862,500","47,112,500","47,112,500","47,112,500","21,200,000","21,200,000",0,0,0,0,0
,,,,NL Central Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"69,587,500","146,137,500","191,137,500","196,887,500","196,887,500","196,887,500","222,800,000","222,800,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,99.65%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,0.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Miguel Amaya,CHC,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,C,Jose Trevino,NYY,"5,750,000","5,750,000","5,750,000",UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,1B,Freddie Freeman,LAD,"27,000,000","27,000,000",UFA,,,,,,,,,,
