,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Matt,,,,MLB,,,34,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,34,,Years Paid,,,Payroll,,"130,840,555","92,280,555","27,100,000","27,100,000","27,100,000",0,0,0,0,0,0,0,0
,,,,Franchise Record,,,76-39,,,,Minors,,,80,,Status,,,Dead Money,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,1,,,,Rotation,,,2,,Future Status,,,Total Payroll,,"130,840,555","92,280,555","27,100,000","27,100,000","27,100,000",0,0,0,0,0,0,0,0
,,,,NL Central Titles,,,1,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"110,159,445","151,719,445","216,900,000","216,900,000","216,900,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,C,Cal Raleigh,SEA,"17,500,000","17,500,000","17,500,000","17,500,000","17,500,000",UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Nick Fortes,MIA,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
