SACRAMENTO RIVER CATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Luke,,,,MLB,,,27,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,27,,Years Paid,,,Payroll,,"110,979,353","75,452,686","66,452,686","50,452,686","29,152,686","29,152,686","29,152,686","29,152,686",0,0,0,0,0
,,,,Franchise Record,,,68-47,,,,Minors,,,106,,Status,,,Dead Money,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,8,,Future Status,,,Total Payroll,,"110,979,353","75,452,686","66,452,686","50,452,686","29,152,686","29,152,686","29,152,686","29,152,686",0,0,0,0,0
,,,,NL Central Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"130,020,647","168,547,314","177,547,314","193,547,314","214,847,314","214,847,314","214,847,314","214,847,314","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,David Fry,CLE,ARB1,ARB2,ARB3,ARB4,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Liam Hicks,DET,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,1B,Rafael Devers,SFG,"29,152,686","29,152,686","29,152,686","29,152,686","29,152,686","29,152,686","29,152,686","29,152,686",UFA,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,2B,Gleyber Torres,DET,"21,300,000","21,300,000","21,300,000","21,300,000",UFA,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,2B,Vidal Brujan,CHC,ARB1,ARB2,ARB3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
