 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Matt,,,,MLB,,,21,,Tax Bill Paid,Yes,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,21,,Years Paid,2024,,Payroll,,"208,681,464","202,254,797","162,654,798","109,421,464","85,532,576","85,532,576","85,532,576","76,532,579","17,441,667",0,0,0,0
,,,,Franchise Record,,,51-64,,,,Minors,,,55,,Status,First,,Dead Money,,"10,000,000",0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,7,,Future Status,Repeats,,Total Payroll,,"218,681,464","202,254,797","162,654,798","109,421,464","85,532,576","85,532,576","85,532,576","76,532,579","17,441,667",0,0,0,0
,,,,NL Central Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"22,318,536","41,745,203","81,345,202","134,578,536","158,467,424","158,467,424","158,467,424","167,467,421","226,558,333","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,95.43%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,4.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Ivan Herrera,STL,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,2B,Matt Shaw,CHC,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,2B,Nico Hoerner,CHC,"11,666,667",UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,2B,Bryson Stott,PHI,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,3B,Manny Machado,SD,"31,818,182","31,818,182","31,818,182","31,818,182","31,818,182","31,818,182","31,818,182","31,818,182",UFA,,,,
X,,X,,,,12/30,,,,,,,,,,,,3B,Ben Williamson,SEA,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,3B,Javier Sanoja,MIA,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SS,Trea Turner,PHI,"27,272,727","27,272,727","27,272,727","27,272,727","27,272,727","27,272,727","27,272,727","27,272,730",UFA,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Julio Rodriguez,SEA,"17,441,667","17,441,667","17,441,667","17,441,667","17,441,667","17,441,667","17,441,667","17,441,667","17,441,667",UFA,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Christian Yelich,MIL,"23,888,888","23,888,888","23,888,888","23,888,888",UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Sandy Alcantara,MIA,"11,200,000","21,000,000",UFA,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Brandon Pfaadt,ARI,"9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000",UFA,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Carlos Rodon,NYY,"27,833,333","27,833,333","27,833,334",UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Casey Mize,DET,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Pedro Avila,SD,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Yariel Rodriguez,TOR,"6,400,000","6,400,000","6,400,000",UFA,,,,,,,,,
X,,X,,,,12/30,24,,,,,,,,,,,SP,Joe Boyle,TB,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Felix Bautista,BAL,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Josh Hader,HOU,"19,000,000","19,000,000","19,000,000",UFA,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Edwin Diaz,NYM,"18,600,000","18,600,000",UFA,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Elvis Peguero,MIL,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,X,,,,,,,,,,,,,,,,,C,Kevin Garcia,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Nathan Flewelling,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Jack Payton,SF,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Adrian Gil,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Charlie Condon,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Callan Moss,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Yorfran Medina,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Lazaro Montes,SEA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Nick Rodriguez,LAA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Eric Bitonti,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Luke Dickerson,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Kelvin HIdalgo,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Elias Medina,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Steele Hall,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Demetrio Nadal,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Tai Peete,SEA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Brian Kalmer,CHC,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jose Anderson,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Bralyn Brazoban,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,John Cruz,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Vladi Guerrero,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Ivan Brethowr,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Brailyn Antunez,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jaden Fauske,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Braylin Morel,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Anderson Paula,(N/A),,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jake Cook,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jeffry Rosa,NYM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Tanner Burns,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Nathan Dettmer,OAK,,,,,,,,,,,,,
