   Tacoma Rainiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Dan/Andrew,,,,MLB,,,22,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,22,,Years Paid,,,Payroll,,"50,867,500","18,000,000",0,0,0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,50-65,,,,Minors,,,107,,Status,,,Dead Money,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,8,,Future Status,,,Total Payroll,,"50,867,500","18,000,000",0,0,0,0,0,0,0,0,0,0,0
,,,,NL Central Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"190,132,500","226,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,100.00%,100.00%,,,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,0.00%,0.00%,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Gabriel Moreno,ARI,ARB1,ARB2,ARB3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,1B,Nick Kurtz,OAK,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,2B,Michael Massey,KC,ARB1,ARB2,ARB3,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,2B,Gavin Lux,LAD,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Cole Young,SEA,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,2B,Jace Jung,DET,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Marcelo Mayer,BOS,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Will Wilson,SF,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Pete Crow-Armstrong,CHC,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Masataka Yoshida,BOS,"18,000,000","18,000,000",UFA,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,J.J. Bleday,OAK,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,John Means,BAL,"4,987,500",UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Clarke Schmidt,NYY,ARB 3,ARB 4,UFA,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Taijuan Walker,PHI,"18,000,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Gunnar Hoglund,OAK,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Max Meyer,MIA,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Jack Kochanowicz,LAA,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Jhony Brito,SD,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Chase Dollander,COL,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,J.T. Ginn,OAK,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Cade Smith,CLE,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,David Bednar,PIT,ARB3,UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,X,,,,,,,,,,,,,,,,,C,Kevin Parada,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Ricardo Olivar,MIN,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Blaze Jordan,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Dominic Keegan,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Aaron Sabato,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Imanol Vargas,LAD,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Cody Morissette,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Armstrong Muhoozi,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Luis Stiven King,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Termarr Johnson,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Nick Yorke,PIT,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Wes Kath,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Tyler Keenan,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Alexander Mojica,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Gage Workman,DET,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Ronny Cruz,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Maikol Escotto,PIT,,,,,,,,,,,,,
