WORCESTER RED SOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Nathan,,,,MLB,,,34,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,,,,
,,,,Joined,,,2024,,,,40 Man,,,34,,Years Paid,,,Payroll,,"171,606,667","116,616,667","85,041,667","45,732,143","14,982,143","9,357,143","9,357,143",0,0,0,0,0,0,,,,
,,,,Franchise Record,,,80-35,,,,Minors,,,90,,Status,,,Dead Money,,"7,000,000",0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,Playoff Appearances,,,0,,,,Rotation,,,8,,Future Status,,,Total Payroll,,"178,606,667","116,616,667","85,041,667","45,732,143","14,982,143","9,357,143","9,357,143",0,0,0,0,0,0,,,,
,,,,NL Central Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"62,393,333","127,383,333","158,958,333","198,267,857","229,017,857","234,642,857","234,642,857","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000",,,,
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,96.08%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,3.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,,,,
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Austin Wells,NYY,"760,000",ARB1,ARB3,ARB3,UFA,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Agustin Ramirez,MIA,"760,000",TC,ARB1,ARB3,ARB3,UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
