name,league_id,rule_5_eligibility_year,
Miguel Sosa,MLB,2025,
Engelth Urena,MLB,2026,
Josue Briceno,MLB,2026,
Julio Zayas,MLB,2027,
Hyungchan Um,MLB,2026,
Jhocsuanth Vargas,MLB,2027,
Ramon Ramirez,MLB,2027,
Stiven Flores,MLB,2027,
Ronny Hernandez,MLB,2026,
Sebastian Baquera,MLB,2029,
Larry Martinez,MLB,2026,
Aneudis Mordan,MLB,2025,
Anthony Martinez,MLB,2028,
Victor Figueroa,MLB,2027,
Will Simpson,MLB,2026,
Adrian Gil,MLB,2027,
Julio Henriquez,MLB,2026,
Sandro Pereira,MLB,2026,
Dameury Pena,MLB,2026,
Dauri Fernandez,MLB,2028,
Adrian Pinto,MLB,Eligible,
Trevor Hauver,MLB,Eligible,
Devin Mann,MLB,Eligible,
Juan Benjamin,MLB,Eligible,
Derek Bernard,MLB,2026,
Derlin Figueroa,MLB,2025,
Moises Lopez,MLB,2026,
Luiyin Alastre,MLB,2027,
Jose Salas,MLB,Eligible,
Rayne Doncon,MLB,2025,
Pedro Ibarguen,MLB,2027,
Jesus Baez,MLB,2026,
Daniel Guilarte,MLB,2025,
Hector Ramos,MLB,2029,
Ryan Mitchell,MLB,2029,
Coy James,MLB,2029,
Sebastian Blanco,MLB,2029,
Luis Garcia,MLB,2029,
Leonardo Balcazar,MLB,2025,
Danny de Andrade,MLB,2025,
Rafael Ramirez Jr,MLB,2026,
Kelvin Hidalgo,MLB,2026,
Angel Cepeda,MLB,2027,
Jefferson Rojas,MLB,2026,
Alexander Albertus,MLB,2026,
Yoffry Solano,MLB,2026,
Diego Velasquez,MLB,2025,
Sammy Stafura,MLB,2027,
Jose Devers,MLB,Eligible,
Aidan Miller,MLB,2027,
Austin Charles,MLB,2026,
Enyervert Perez,MLB,2027,
Marcos Castanon,MLB,Eligible,
Echedry Vargas,MLB,2026,
Eduardo Herrera,MLB,2028,
Maxton Martin,MLB,2027,
Theodore Gillen,MLB,2028,
Jean Joseph,MLB,2026,
Vladimir Asencio,MLB,2028,
Devin Saltiban,MLB,2027,
Thomas Sosa,MLB,2026,
Rayner Arias,MLB,2027,
Anibal Salas,MLB,2027,
Luis Lara,MLB,2026,
Angel Guzman,MLB,2028,
Erick Bautista,MLB,2027,
Estuar Suero,MLB,2026,
Maykel Coret,MLB,2029,
Luis Baez,MLB,2026,
Lonnie White,MLB,2025,
Raylin Heredia,MLB,2025,
Jace Avina,MLB,2025,
Tyler Gentry,MLB,Eligible,
Jalvin Arias,MLB,2028,
Ma'Kale Holden,MLB,Not in RR,
Kyle Virbitsky,MLB,Eligible,
Alimber Santa,MLB,Eligible,
Briggs McKenzie,MLB,2029,
Miguel Sime,MLB,2029,
Alexander Garcia,MLB,2028,
Darrel Lunar,MLB,2028,
Jagger Beck,MLB,2028,
Stharlin Torres,MLB,2028,
Ethan Dorchies,MLB,2028,
Titan Hayes,MLB,2028,
Jonathan Santucci,MLB,2027,
Nate Dohm,MLB,2027,
Gage Ziehl,MLB,2027,
Owen Hackman,MLB,2027,
Luis Pimentel,MLB,2027,
Gilberto Bautista,MLB,2027,
Blake Aita,MLB,2027,
Kannon Kemp,MLB,2027,
Paul Wilson,MLB,2027,
Connor Wietgrefe,MLB,2027,
Greg Farone,MLB,2027,
Kevin Velasco,MLB,2027,
Angel Liranzo,MLB,2027,
Jonathan Russell,MLB,2027,
Enniel Cortez,MLB,2027,
Sean Linan,MLB,2026,
Riley Gowens,MLB,2026,
Jogly Garcia,MLB,2026,
Yimi Presinal,MLB,2026,
Robby Snelling,MLB,2026,
Zack Qin,MLB,2026,
Pitterson Rosa,MLB,2026,
Franklin Gomez,MLB,2026,
Aldrin Batista,MLB,2025,
Jordarlin Mendoza,MLB,2025,
Leandro Calderon,MLB,2025,
Victor Pena,MLB,2025,
Juan Rojas,MLB,2025,
Victor Lizarraga,MLB,2025,
