name,position,league_id,mlb_team,is_international_free_agent,fa_status
Felix LeBron,SS,MLB,CHW,1,available
Manny De Los Santos,SS,MLB,MIL,1,available
Jawel Garcia,OF,MLB,WSH,1,available
Ronny Munoz,SS,MLB,MIA,1,available
Yordany Marte,P,MLB,CHW,1,available
Jhosep Villarroel,C,MLB,ARZ,1,available
Stiwarts Valdez,OF,MLB,CHW,1,available
Ezequiel Jaime,OF,MLB,MIA,1,available
Onardi Santos,SP,MLB,MIA,1,available
Gregory Rodriguez,C,MLB,TB,1,available
Luis Almanzar,OF,MLB,TB,1,available
,,,,,
,,,,,
,,,,,
