name,league_id,rule_5_eligibility_year
Willie MacIver,MLB,Eligible
Sebastian De Andrade,MLB,2027
Gustavo Baptista,MLB,2029
Carlos Silva,MLB,2027
Matthew Wood,MLB,2025
Anderson Navas,MLB,2027
Yohendry Sanchez,MLB,2028
Luke Cantwell,MLB,2028
Max Ferguson,MLB,Eligible
Alex Mooney,MLB,2026
Kevin Ereu,MLB,2027
Juan Hernandez,MLB,2027
Felix Morrobel,MLB,2027
Omar Guadamuz,MLB,2029
Eikel Joaquin,MLB,2027
Alejandro Pie,MLB,Eligible
Ryan Spikes,MLB,2025
Jhonayker Ugarte,MLB,2028
Angel Brachi,MLB,2028
Gabriel Rodriguez,MLB,2028
Alfredo Benzan,MLB,2028
Angel Guzman,MLB,2028
Yohandy Morales,MLB,2026
Breyias Dean,MLB,2027
Brett Callahan,MLB,2026
Jake Cunningham,MLB,2026
Cade Marlowe,MLB,Eligible
Daniel Gaitor,MLB,2027
Hector Liriano,MLB,2027
Elian Soto,MLB,2027
Connor Scott,MLB,Eligible
Guy Lipscomb Jr.,MLB,2025
Belfi Rivera,MLB,2028
Pascual Archila,MLB,2028
Anderson Paula,MLB,2028
Anthony Huezo,MLB,2027
Won-Bin Cho,MLB,2026
Reed Trimble,MLB,Eligible
Jefferson Jean,MLB,2026
Nate Knowles,MLB,2027
Garrett Gainey,MLB,2027
Joe Whitman,MLB,2026
Earle Zulueta,MLB,2028
Orlando Suarez,MLB,2028
Evan Sisk,MLB,Eligible
Sam Tookoian,MLB,2028
Mason Morris,MLB,2028
Ashton Izzi,MLB,2026
Nick Weyrich,MLB,2028
Anderson Diaz,MLB,2029
Adrian Torres,MLB,2029
Gabriel Arias,MLB,Released
Austin Cox,MLB,Eligible
Bryan Mata,MLB,Eligible
Antonio Jimenez,MLB,Eligible
Kevin Kopps,MLB,Eligible
Bryce Bonnin,MLB,Eligible
Noah Murdock,MLB,Eligible
Levi Stoudt,MLB,Eligible
Sam Weatherly,MLB,Eligible
Ben Bowden,MLB,Eligible
